RAM,CARD,GIA,MANHINH,LUACHON,,
4G,Intel graphics,Thap,15.6 inch,Yes,,
8G,Radeo,Cao,14 inch,No,,
16G,Intel graphics,Thap,14 inch,No,,
16G,Radeo,Cao,14 inch,Yes,,
8G,Radeo,Cao,15.6 inch,Yes,,
16G,Intel graphics,Thap,14 inch,No,,
16G,Intel graphics,Thap,14 inch,No,,
8G,Radeo,Cao,14 inch,No,,
4G,Onboard,Cao,15.6 inch,Yes,,
16G,Intel graphics,Cao,14 inch,No,,
4G,Radeo,Cao,14 inch,No,,
8G,Onboard,Thap,14 inch,No,,
8G,Onboard,Cao,14 inch,No,,
8G,Intel graphics,Cao,14 inch,No,,
8G,Radeo,Thap,15.6 inch,No,,
16G,Intel graphics,Thap,14 inch,No,,
16G,Radeo,Thap,15.6 inch,Yes,,
16G,Intel graphics,Cao,14 inch,Yes,,
4G,Intel graphics,Cao,14 inch,No,,
4G,Onboard,Thap,14 inch,No,,
