RAM,CARD,GIA,MANHINH,LUACHON
4G,Intelgraphics,Thap,15.6inch,Yes
8G,Radeo,Cao,14inch,No
16G,Intelgraphics,Thap,14inch,No
16G,Radeo,Cao,14inch,Yes
8G,Radeo,Cao,15.6inch,Yes
16G,Intelgraphics,Thap,14inch,No
16G,Intelgraphics,Thap,14inch,No
8G,Radeo,Cao,14inch,No
4G,Onboard,Cao,15.6inch,Yes
16G,Intelgraphics,Cao,14inch,No
4G,Radeo,Cao,14inch,No
8G,Onboard,Thap,14inch,No
8G,Onboard,Cao,14inch,No
8G,Intelgraphics,Cao,14inch,No
8G,Radeo,Thap,15.6inch,Yes
16G,Intelgraphics,Thap,14inch,No
16G,Radeo,Thap,15.6inch,Yes
16G,Intelgraphics,Cao,14inch,Yes
4G,Intelgraphics,Cao,14inch,No
4G,Onboard,Thap,14inch,No
